CarNumber,LastName,Sector,Time,EntryTime,ExitTime,Lap,Flag
27,Andretti,S1,2.6963,56863.898,56866.5943,4,Green
28,Hunter-Reay,S1,2.6404,56933.338,56935.9784,4,Green
2,Newgarden,S1,2.771,57792.8931,57795.6641,4,Green
19,Jones,S1,2.779,56850.769,56853.548,4,Green
21,Hildebrand,S1,2.6446,56245.4253,56248.0699,4,Green
83,Kimball,S1,2.7779,56259.3154,56262.0933,4,Green
16,Servia,S1,2.783,56257.3592,56260.1422,4,Green
1,Pagenaud,S1,2.566,56980.9612,56983.5272,4,Green
7,Aleshin,S1,2.5868,56803.7478,56806.3346,4,Green
15,Rahal,S1,2.5557,57244.5806,57247.1363,4,Green
