CarNumber,LastName,Sector,Time,EntryTime,ExitTime,Lap,Flag
19,Jones,LAP,78.4516,56925.0182,57003.4698,5,Green
28,Hunter-Reay,LAP,76.1352,57006.3454,57082.4806,5,Green
10,Kanaan,LAP,78.103,57751.1453,57829.2483,5,Green
16,Servia,LAP,443.5316,56345.0266,56788.5582,5,Red
5,Hinchcliffe,LAP,77.0941,56992.1201,57069.2142,5,Green
4,Daly,LAP,78.3178,57015.3174,57093.6352,5,Green
2,Newgarden,LAP,287.024,57865.881,58152.905,5,Green
15,Rahal,LAP,75.6012,57319.283,57394.8842,5,Green
1,Pagenaud,LAP,75.4785,57056.7565,57132.235,5,Green
7,Aleshin,LAP,77.4818,56874.2918,56951.7736,5,Green
26,Sato,LAP,78.6856,56964.2055,57042.8911,5,Green
21,Hildebrand,LAP,367.4421,56328.4036,56695.8457,5,Red
12,Power,LAP,77.5915,57973.9627,58051.5542,5,Green
20,Pigot,LAP,77.8233,57717.2464,57795.0697,6,Green
14,Munoz,LAP,79.8189,56912.0535,56991.8724,6,Green
19,Jones,LAP,77.9767,57003.4698,57081.4465,6,Green
9,Dixon,LAP,78.4578,58122.7406,58201.1984,6,Green
18,Gutierrez,LAP,78.912,57435.3139,57514.2259,6,Green
5,Hinchcliffe,LAP,76.3055,57069.2142,57145.5197,6,Green
4,Daly,LAP,78.1704,57093.6352,57171.8056,6,Green
2,Newgarden,LAP,204.0458,58152.905,58356.9508,6,Green
8,Chilton,LAP,76.7223,57037.9821,57114.7044,6,Green
27,Andretti,LAP,481.8756,57012.9455,57494.8211,6,Green
83,Kimball,LAP,78.2244,56908.1369,56986.3613,6,Green
26,Sato,LAP,77.8111,57042.8911,57120.7022,6,Green
21,Hildebrand,LAP,77.524,56695.8457,56773.3697,6,Green
12,Power,LAP,82.118,58051.5542,58133.6722,6,Green
28,Hunter-Reay,LAP,1086.1497,57082.4806,58168.6303,6,Green
10,Kanaan,LAP,77.9423,57829.2483,57907.1906,6,Green
16,Servia,LAP,78.1307,56788.5582,56866.6889,6,Green
3,Castroneves,LAP,76.4362,58022.7773,58099.2135,6,Green
15,Rahal,LAP,302.496,57394.8842,57697.3802,6,Green
1,Pagenaud,LAP,75.4786,57132.235,57207.7136,6,Green
7,Aleshin,LAP,449.7006,56951.7736,57401.4742,6,Green
3,Castroneves,LAP,77.5974,58099.2135,58176.8109,7,Green
9,Dixon,LAP,79.544,58201.1984,58280.7424,7,Green
18,Gutierrez,LAP,84.1205,57514.2259,57598.3464,7,Green
8,Chilton,LAP,77.078,57114.7044,57191.7824,7,Green
27,Andretti,LAP,78.1816,57494.8211,57573.0027,7,Green
83,Kimball,LAP,76.8943,56986.3613,57063.2556,7,Green
20,Pigot,LAP,366.9975,57795.0697,58162.0672,7,Green
14,Munoz,LAP,336.3115,56991.8724,57328.1839,7,Green
19,Jones,LAP,438.2307,57081.4465,57519.6772,7,Green
28,Hunter-Reay,LAP,80.0069,58168.6303,58248.6372,7,Green
10,Kanaan,LAP,516.1001,57907.1906,58423.2907,7,Green
16,Servia,LAP,77.3602,56866.6889,56944.0491,7,Green
5,Hinchcliffe,LAP,76.2264,57145.5197,57221.7461,7,Green
4,Daly,LAP,475.328,57171.8056,57647.1336,7,Green
2,Newgarden,LAP,76.7162,58356.9508,58433.667,7,Green
15,Rahal,LAP,80.1735,57697.3802,57777.5537,7,Green
1,Pagenaud,LAP,785.6501,57207.7136,57993.3637,7,Green
7,Aleshin,LAP,75.5382,57401.4742,57477.0124,7,Green
26,Sato,LAP,649.6621,57120.7022,57770.3643,7,Green
21,Hildebrand,LAP,77.7498,56773.3697,56851.1195,7,Green
12,Power,LAP,77.0295,58133.6722,58210.7017,7,Green
20,Pigot,LAP,80.931,58162.0672,58242.9982,8,Green
14,Munoz,LAP,78.0847,57328.1839,57406.2686,8,Green
19,Jones,LAP,81.762,57519.6772,57601.4392,8,Green
9,Dixon,LAP,79.5278,58280.7424,58360.2702,8,Green
18,Gutierrez,LAP,79.161,57598.3464,57677.5074,8,Green
5,Hinchcliffe,LAP,76.7005,57221.7461,57298.4466,8,Green
4,Daly,LAP,78.7456,57647.1336,57725.8792,8,Green
2,Newgarden,LAP,77.1672,58433.667,58510.8342,8,Green
8,Chilton,LAP,532.918,57191.7824,57724.7004,8,Green
27,Andretti,LAP,77.349,57573.0027,57650.3517,8,Green
83,Kimball,LAP,78.0738,57063.2556,57141.3294,8,Green
26,Sato,LAP,77.6841,57770.3643,57848.0484,8,Green
21,Hildebrand,LAP,77.7561,56851.1195,56928.8756,8,Green
12,Power,LAP,77.2805,58210.7017,58287.9822,8,Green
28,Hunter-Reay,LAP,79.7164,58248.6372,58328.3536,8,Green
10,Kanaan,LAP,78.3579,58423.2907,58501.6486,8,Green
16,Servia,LAP,77.0993,56944.0491,57021.1484,8,Green
3,Castroneves,LAP,219.7482,58176.8109,58396.5591,8,Green
15,Rahal,LAP,75.3519,57777.5537,57852.9056,8,Green
1,Pagenaud,LAP,79.1828,57993.3637,58072.5465,8,Green
7,Aleshin,LAP,76.0746,57477.0124,57553.087,8,Green
3,Castroneves,LAP,78.5827,58396.5591,58475.1418,9,Green
9,Dixon,LAP,1023.9845,58360.2702,59384.2547,9,Green
18,Gutierrez,LAP,80.2802,57677.5074,57757.7876,9,Green
8,Chilton,LAP,77.7247,57724.7004,57802.4251,9,Green
27,Andretti,LAP,76.7757,57650.3517,57727.1274,9,Green
83,Kimball,LAP,445.8105,57141.3294,57587.1399,9,Green
20,Pigot,LAP,78.2717,58242.9982,58321.2699,9,Green
14,Munoz,LAP,77.2437,57406.2686,57483.5123,9,Green
19,Jones,LAP,77.6095,57601.4392,57679.0487,9,Green
28,Hunter-Reay,LAP,80.5211,58328.3536,58408.8747,9,Green
10,Kanaan,LAP,383.5868,58501.6486,58885.2354,9,Green
16,Servia,LAP,76.8195,57021.1484,57097.9679,9,Green
5,Hinchcliffe,LAP,767.6006,57298.4466,58066.0472,9,Green
4,Daly,LAP,78.929,57725.8792,57804.8082,9,Green
2,Newgarden,LAP,369.4591,58510.8342,58880.2933,9,Green
15,Rahal,LAP,75.4275,57852.9056,57928.3331,9,Green
1,Pagenaud,LAP,77.9128,58072.5465,58150.4593,9,Green
7,Aleshin,LAP,384.6486,57553.087,57937.7356,9,Green
26,Sato,LAP,254.9444,57848.0484,58102.9928,9,Green
21,Hildebrand,LAP,421.1041,56928.8756,57349.9797,9,Green
12,Power,LAP,210.213,58287.9822,58498.1952,9,Green
20,Pigot,LAP,78.7399,58321.2699,58400.0098,10,Green
14,Munoz,LAP,308.4818,57483.5123,57791.9941,10,Green
19,Jones,LAP,83.7951,57679.0487,57762.8438,10,Green
9,Dixon,LAP,104.6594,59384.2547,59488.9141,10,Green
18,Gutierrez,LAP,81.7152,57757.7876,57839.5028,10,Green
5,Hinchcliffe,LAP,78.0564,58066.0472,58144.1036,10,Green
4,Daly,LAP,567.9487,57804.8082,58372.7569,10,Green
2,Newgarden,LAP,106.4969,58880.2933,58986.7902,10,Green
8,Chilton,LAP,79.3315,57802.4251,57881.7566,10,Green
27,Andretti,LAP,529.838,57727.1274,58256.9654,10,Green
83,Kimball,LAP,77.7408,57587.1399,57664.8807,10,Green
26,Sato,LAP,80.205,58102.9928,58183.1978,10,Green
21,Hildebrand,LAP,76.038,57349.9797,57426.0177,10,Green
12,Power,LAP,78.3021,58498.1952,58576.4973,10,Green
28,Hunter-Reay,LAP,79.7208,58408.8747,58488.5955,10,Green
10,Kanaan,LAP,103.8004,58885.2354,58989.0358,10,Green
16,Servia,LAP,76.9792,57097.9679,57174.9471,10,Green
3,Castroneves,LAP,79.6433,58475.1418,58554.7851,10,Green
15,Rahal,LAP,375.5944,57928.3331,58303.9275,10,Green
1,Pagenaud,LAP,76.5595,58150.4593,58227.0188,10,Green
7,Aleshin,LAP,77.2948,57937.7356,58015.0304,10,Green
3,Castroneves,LAP,810.1403,58554.7851,59364.9254,11,Green
9,Dixon,LAP,135.8127,59488.9141,59624.7268,11,Green
18,Gutierrez,LAP,318.6396,57839.5028,58158.1424,11,Green
8,Chilton,LAP,309.2821,57881.7566,58191.0387,11,Green
27,Andretti,LAP,80.6336,58256.9654,58337.599,11,Green
83,Kimball,LAP,78.6174,57664.8807,57743.4981,11,Green
20,Pigot,LAP,82.0013,58400.0098,58482.0111,11,Green
14,Munoz,LAP,79.7435,57791.9941,57871.7376,11,Green
19,Jones,LAP,374.6714,57762.8438,58137.5152,11,Green
28,Hunter-Reay,LAP,77.1029,58488.5955,58565.6984,11,Green
10,Kanaan,LAP,103.0965,58989.0358,59092.1323,11,Green
16,Servia,LAP,624.9973,57174.9471,57799.9444,11,Green
5,Hinchcliffe,LAP,77.5976,58144.1036,58221.7012,11,Green
4,Daly,LAP,76.4224,58372.7569,58449.1793,11,Green
2,Newgarden,LAP,104.6162,58986.7902,59091.4064,11,Green
15,Rahal,LAP,78.0657,58303.9275,58381.9932,11,Green
1,Pagenaud,LAP,80.8437,58227.0188,58307.8625,11,Green
7,Aleshin,LAP,316.1303,58015.0304,58331.1607,11,Green
26,Sato,LAP,76.8032,58183.1978,58260.001,11,Green
21,Hildebrand,LAP,77.9193,57426.0177,57503.937,11,Green
12,Power,LAP,301.8081,58576.4973,58878.3054,11,Green
3,Castroneves,LAP,101.7604,59364.9254,59466.6858,12,Green
15,Rahal,LAP,75.7596,58381.9932,58457.7528,12,Green
1,Pagenaud,LAP,78.0014,58307.8625,58385.8639,12,Green
7,Aleshin,LAP,80.4451,58331.1607,58411.6058,12,Green
20,Pigot,LAP,79.88,58482.0111,58561.8911,12,Green
14,Munoz,LAP,381.4466,57871.7376,58253.1842,12,Green
19,Jones,LAP,82.3848,58137.5152,58219.9,12,Green
9,Dixon,LAP,101.7031,59624.7268,59726.4299,12,Green
18,Gutierrez,LAP,80.3624,58158.1424,58238.5048,12,Green
5,Hinchcliffe,LAP,78.2425,58221.7012,58299.9437,12,Green
4,Daly,LAP,77.7369,58449.1793,58526.9162,12,Green
2,Newgarden,LAP,104.5514,59091.4064,59195.9578,12,Green
8,Chilton,LAP,77.8576,58191.0387,58268.8963,12,Green
27,Andretti,LAP,78.2974,58337.599,58415.8964,12,Green
83,Kimball,LAP,79.6959,57743.4981,57823.194,12,Green
26,Sato,LAP,80.5815,58260.001,58340.5825,12,Green
21,Hildebrand,LAP,76.5153,57503.937,57580.4523,12,Green
12,Power,LAP,103.3551,58878.3054,58981.6605,12,Green
10,Kanaan,LAP,101.6141,59092.1323,59193.7464,12,Green
16,Servia,LAP,76.6915,57799.9444,57876.6359,12,Green
3,Castroneves,LAP,103.8288,59466.6858,59570.5146,13,Green
20,Pigot,LAP,340.2862,58561.8911,58902.1773,13,Green
14,Munoz,LAP,82.6802,58253.1842,58335.8644,13,Green
19,Jones,LAP,106.4718,58219.9,58326.3718,13,Green
18,Gutierrez,LAP,80.0051,58238.5048,58318.5099,13,Green
16,Servia,LAP,76.8754,57876.6359,57953.5113,13,Green
5,Hinchcliffe,LAP,77.6131,58299.9437,58377.5568,13,Green
4,Daly,LAP,862.5233,58526.9162,59389.4395,13,Green
8,Chilton,LAP,78.9174,58268.8963,58347.8137,13,Green
27,Andretti,LAP,80.2528,58415.8964,58496.1492,13,Green
83,Kimball,LAP,316.7813,57823.194,58139.9753,13,Green
15,Rahal,LAP,448.6823,58457.7528,58906.4351,13,Green
1,Pagenaud,LAP,77.9297,58385.8639,58463.7936,13,Green
7,Aleshin,LAP,78.3994,58411.6058,58490.0052,13,Green
26,Sato,LAP,76.1958,58340.5825,58416.7783,13,Green
21,Hildebrand,LAP,78.0469,57580.4523,57658.4992,13,Green
12,Power,LAP,102.8437,58981.6605,59084.5042,13,Green
3,Castroneves,LAP,102.9943,59570.5146,59673.5089,14,Green
15,Rahal,LAP,105.2836,58906.4351,59011.7187,14,Green
19,Jones,LAP,80.0851,58326.3718,58406.4569,14,Green
18,Gutierrez,LAP,80.0434,58318.5099,58398.5533,14,Green
5,Hinchcliffe,LAP,92.8786,58377.5568,58470.4354,14,Green
4,Daly,LAP,151.2602,59389.4395,59540.6997,14,Green
8,Chilton,LAP,80.0148,58347.8137,58427.8285,14,Green
83,Kimball,LAP,78.5514,58139.9753,58218.5267,14,Green
20,Pigot,LAP,118.2163,58902.1773,59020.3936,14,Green
14,Munoz,LAP,77.3762,58335.8644,58413.2406,14,Green
1,Pagenaud,LAP,77.1996,58463.7936,58540.9932,14,Green
7,Aleshin,LAP,77.4765,58490.0052,58567.4817,14,Green
26,Sato,LAP,506.9124,58416.7783,58923.6907,14,Green
21,Hildebrand,LAP,377.4726,57658.4992,58035.9718,14,Green
12,Power,LAP,103.5286,59084.5042,59188.0328,14,Green
16,Servia,LAP,76.5081,57953.5113,58030.0194,14,Green
14,Munoz,LAP,81.0951,58413.2406,58494.3357,15,Green
19,Jones,LAP,79.0725,58406.4569,58485.5294,15,Green
18,Gutierrez,LAP,80.0736,58398.5533,58478.6269,15,Green
16,Servia,LAP,362.226,58030.0194,58392.2454,15,Green
5,Hinchcliffe,LAP,84.0014,58470.4354,58554.4368,15,Green
4,Daly,LAP,106.7142,59540.6997,59647.4139,15,Green
8,Chilton,LAP,80.0998,58427.8285,58507.9283,15,Green
83,Kimball,LAP,82.8864,58218.5267,58301.4131,15,Green
20,Pigot,LAP,108.0743,59020.3936,59128.4679,15,Green
1,Pagenaud,LAP,864.911,58540.9932,59405.9042,15,Green
7,Aleshin,LAP,811.94,58567.4817,59379.4217,15,Green
26,Sato,LAP,106.6558,58923.6907,59030.3465,15,Green
21,Hildebrand,LAP,78.1659,58035.9718,58114.1377,15,Green
1,Pagenaud,LAP,102.3565,59405.9042,59508.2607,16,Green
7,Aleshin,LAP,106.654,59379.4217,59486.0757,16,Green
26,Sato,LAP,107.4588,59030.3465,59137.8053,16,Green
14,Munoz,LAP,80.6729,58494.3357,58575.0086,16,Green
19,Jones,LAP,79.6996,58485.5294,58565.229,16,Green
18,Gutierrez,LAP,79.7417,58478.6269,58558.3686,16,Green
21,Hildebrand,LAP,78.6724,58114.1377,58192.8101,16,Green
16,Servia,LAP,76.7375,58392.2454,58468.9829,16,Green
5,Hinchcliffe,LAP,358.9058,58554.4368,58913.3426,16,Green
8,Chilton,LAP,409.616,58507.9283,58917.5443,16,Green
83,Kimball,LAP,1155.0533,58301.4131,59456.4664,16,Green
20,Pigot,LAP,108.7873,59128.4679,59237.2552,16,Green
1,Pagenaud,LAP,100.7531,59508.2607,59609.0138,17,Green
26,Sato,LAP,106.739,59137.8053,59244.5443,17,Green
21,Hildebrand,LAP,78.9216,58192.8101,58271.7317,17,Green
18,Gutierrez,LAP,338.3295,58558.3686,58896.6981,17,Green
